city,country,year,global_avg_temp,14-YEAR MA-GLOBAL,city_temp,14-YEAR MA-CITY
Lagos,Nigeria,1849,7.98,,25.98,
Lagos,Nigeria,1850,7.9,,25.87,
Lagos,Nigeria,1851,8.18,,26.1,
Lagos,Nigeria,1852,8.1,,,
Lagos,Nigeria,1853,8.04,,,
Lagos,Nigeria,1854,8.21,,,
Lagos,Nigeria,1855,8.11,,,
Lagos,Nigeria,1856,8,,26.35,
Lagos,Nigeria,1857,7.76,,25.45,
Lagos,Nigeria,1858,8.1,,25.92,
Lagos,Nigeria,1859,8.25,,26.18,
Lagos,Nigeria,1860,7.96,,26.01,
Lagos,Nigeria,1861,7.85,,25.95,
Lagos,Nigeria,1862,7.56,8.000,25.9,25.971
Lagos,Nigeria,1863,8.11,8.009,,25.970
Lagos,Nigeria,1864,7.98,8.015,,25.983
Lagos,Nigeria,1865,8.18,8.015,,25.966
Lagos,Nigeria,1866,8.29,8.029,,25.966
Lagos,Nigeria,1867,8.44,8.057,,25.966
Lagos,Nigeria,1868,8.25,8.060,,25.966
Lagos,Nigeria,1869,8.43,8.083,,25.966
Lagos,Nigeria,1870,8.2,8.097,,25.902
Lagos,Nigeria,1871,8.12,8.123,,25.992
Lagos,Nigeria,1872,8.19,8.129,,26.010
Lagos,Nigeria,1873,8.35,8.136,26.46,26.080
Lagos,Nigeria,1874,8.43,8.170,26.08,26.098
Lagos,Nigeria,1875,7.86,8.171,25.82,26.065
Lagos,Nigeria,1876,8.08,8.208,25.82,26.045
Lagos,Nigeria,1877,8.54,8.239,26.35,26.106
Lagos,Nigeria,1878,8.83,8.299,26.26,26.132
Lagos,Nigeria,1879,8.17,8.299,25.67,26.066
Lagos,Nigeria,1880,8.12,8.286,26.14,26.075
Lagos,Nigeria,1881,8.27,8.274,26.39,26.110
Lagos,Nigeria,1882,8.13,8.266,26.01,26.100
Lagos,Nigeria,1883,7.98,8.234,26.42,26.129
Lagos,Nigeria,1884,7.77,8.203,26.43,26.154
Lagos,Nigeria,1885,7.92,8.189,26.01,26.143
Lagos,Nigeria,1886,7.95,8.171,25.87,26.124
Lagos,Nigeria,1887,7.91,8.140,25.09,26.026
Lagos,Nigeria,1888,8.09,8.116,25.42,25.979
Lagos,Nigeria,1889,8.32,8.149,25.34,25.944
Lagos,Nigeria,1890,7.97,8.141,24.86,25.876
Lagos,Nigeria,1891,8.02,8.104,25.29,25.800
Lagos,Nigeria,1892,8.07,8.049,25.49,25.745
Lagos,Nigeria,1893,8.06,8.041,25.67,25.745
Lagos,Nigeria,1894,8.16,8.044,25.59,25.706
Lagos,Nigeria,1895,8.15,8.036,25.92,25.672
Lagos,Nigeria,1896,8.21,8.041,25.87,25.662
Lagos,Nigeria,1897,8.29,8.064,26.29,25.653
Lagos,Nigeria,1898,8.18,8.093,25.79,25.607
Lagos,Nigeria,1899,8.4,8.127,26.31,25.629
Lagos,Nigeria,1900,8.5,8.166,26.42,25.668
Lagos,Nigeria,1901,8.54,8.211,26.53,25.771
Lagos,Nigeria,1902,8.3,8.226,26.09,25.819
Lagos,Nigeria,1903,8.22,8.219,25.68,25.843
Lagos,Nigeria,1904,8.09,8.228,25.48,25.887
