year,city,country,avg_temp,city,country
1849,Lagos,Nigeria,25.98,Lagos,Nigeria
1850,Lagos,Nigeria,25.87,Lagos,Nigeria
1851,Lagos,Nigeria,26.10,Lagos,Nigeria
1852,Lagos,Nigeria,,Lagos,Nigeria
1853,Lagos,Nigeria,,Lagos,Nigeria
1854,Lagos,Nigeria,,Lagos,Nigeria
1855,Lagos,Nigeria,,Lagos,Nigeria
1856,Lagos,Nigeria,26.35,Lagos,Nigeria
1857,Lagos,Nigeria,25.45,Lagos,Nigeria
1858,Lagos,Nigeria,25.92,Lagos,Nigeria
1859,Lagos,Nigeria,26.18,Lagos,Nigeria
1860,Lagos,Nigeria,26.01,Lagos,Nigeria
1861,Lagos,Nigeria,25.95,Lagos,Nigeria
1862,Lagos,Nigeria,25.90,Lagos,Nigeria
1863,Lagos,Nigeria,,Lagos,Nigeria
1864,Lagos,Nigeria,,Lagos,Nigeria
1865,Lagos,Nigeria,,Lagos,Nigeria
1866,Lagos,Nigeria,,Lagos,Nigeria
1867,Lagos,Nigeria,,Lagos,Nigeria
1868,Lagos,Nigeria,,Lagos,Nigeria
1869,Lagos,Nigeria,,Lagos,Nigeria
1870,Lagos,Nigeria,,Lagos,Nigeria
1871,Lagos,Nigeria,,Lagos,Nigeria
1872,Lagos,Nigeria,,Lagos,Nigeria
1873,Lagos,Nigeria,26.46,Lagos,Nigeria
1874,Lagos,Nigeria,26.08,Lagos,Nigeria
1875,Lagos,Nigeria,25.82,Lagos,Nigeria
1876,Lagos,Nigeria,25.82,Lagos,Nigeria
1877,Lagos,Nigeria,26.35,Lagos,Nigeria
1878,Lagos,Nigeria,26.26,Lagos,Nigeria
1879,Lagos,Nigeria,25.67,Lagos,Nigeria
1880,Lagos,Nigeria,26.14,Lagos,Nigeria
1881,Lagos,Nigeria,26.39,Lagos,Nigeria
1882,Lagos,Nigeria,26.01,Lagos,Nigeria
1883,Lagos,Nigeria,26.42,Lagos,Nigeria
1884,Lagos,Nigeria,26.43,Lagos,Nigeria
1885,Lagos,Nigeria,26.01,Lagos,Nigeria
1886,Lagos,Nigeria,25.87,Lagos,Nigeria
1887,Lagos,Nigeria,25.09,Lagos,Nigeria
1888,Lagos,Nigeria,25.42,Lagos,Nigeria
1889,Lagos,Nigeria,25.34,Lagos,Nigeria
1890,Lagos,Nigeria,24.86,Lagos,Nigeria
1891,Lagos,Nigeria,25.29,Lagos,Nigeria
1892,Lagos,Nigeria,25.49,Lagos,Nigeria
1893,Lagos,Nigeria,25.67,Lagos,Nigeria
1894,Lagos,Nigeria,25.59,Lagos,Nigeria
1895,Lagos,Nigeria,25.92,Lagos,Nigeria
1896,Lagos,Nigeria,25.87,Lagos,Nigeria
1897,Lagos,Nigeria,26.29,Lagos,Nigeria
1898,Lagos,Nigeria,25.79,Lagos,Nigeria
1899,Lagos,Nigeria,26.31,Lagos,Nigeria
1900,Lagos,Nigeria,26.42,Lagos,Nigeria
1901,Lagos,Nigeria,26.53,Lagos,Nigeria
1902,Lagos,Nigeria,26.09,Lagos,Nigeria
1903,Lagos,Nigeria,25.68,Lagos,Nigeria
1904,Lagos,Nigeria,25.48,Lagos,Nigeria
1905,Lagos,Nigeria,26.16,Lagos,Nigeria
1906,Lagos,Nigeria,26.21,Lagos,Nigeria
1907,Lagos,Nigeria,25.96,Lagos,Nigeria
1908,Lagos,Nigeria,26.15,Lagos,Nigeria
1909,Lagos,Nigeria,26.08,Lagos,Nigeria
1910,Lagos,Nigeria,26.13,Lagos,Nigeria
1911,Lagos,Nigeria,25.72,Lagos,Nigeria
1912,Lagos,Nigeria,26.17,Lagos,Nigeria
1913,Lagos,Nigeria,26.65,Lagos,Nigeria
1914,Lagos,Nigeria,26.75,Lagos,Nigeria
1915,Lagos,Nigeria,26.81,Lagos,Nigeria
1916,Lagos,Nigeria,26.60,Lagos,Nigeria
1917,Lagos,Nigeria,26.96,Lagos,Nigeria
1918,Lagos,Nigeria,26.41,Lagos,Nigeria
1919,Lagos,Nigeria,26.70,Lagos,Nigeria
1920,Lagos,Nigeria,26.72,Lagos,Nigeria
1921,Lagos,Nigeria,26.77,Lagos,Nigeria
1922,Lagos,Nigeria,26.73,Lagos,Nigeria
1923,Lagos,Nigeria,26.63,Lagos,Nigeria
1924,Lagos,Nigeria,26.95,Lagos,Nigeria
1925,Lagos,Nigeria,26.64,Lagos,Nigeria
